"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ad_type","amount_data","architecture","backbone_name","batch_size","centering","conv3x3_only","data_class","dataclass","dataset","dataset_name","decoder","encoder","encoder_type","epochs","experiment","fp_thres","img_size","learning_rate","patience","weight_decay","epoch","image_auroc_score","image_prauc_score","mdn_loss","mdn_train_loss","mdn_valid_loss","mse_loss","nf_loss","pro_score_0.3fp","train_loss","valid_loss","pixel_auroc_score"
"AutoEncoderEfficientFormer_DecoderResNetVariableEmbeddingSize-2023-05-09_23-50-42","finished","-","almi1012","DecoderResNet, EncoderEfficientFormer, MVTecAD, recon","2023-05-09T21:50:42.000Z","2585","","recon","196","AutoEncoderEfficientFormer_DecoderResNetVariableEmbeddingSize","","32","false","","","leather","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","310","0.8284646739130435","0.9380759929653002","","","","","","0.7456221083302803","0.0005797947868609763","0.0005813000429117558","0.7685042684219955"
"AutoEncoderNest_DecoderResNetVariableEmbeddingSize-2023-05-09_23-13-10","finished","-","almi1012","DecoderResNet, EncoderNesT, MVTecAD, recon","2023-05-09T21:13:10.000Z","2249","","recon","196","AutoEncoderNest_DecoderResNetVariableEmbeddingSize","","32","false","","","leather","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","269","0.7873641304347826","0.9253359067928372","","","","","","0.6460467681243883","0.00117222759254961","0.0008630948176854576","0.6727588972289097"
"AutoEncoderEsVit_DecoderResNetVariableEmbeddingSize-2023-05-09_19-55-18","finished","-","almi1012","DecoderResNet, EncoderEsViT, MVTecAD, recon","2023-05-09T17:55:18.000Z","1638","","recon","313","AutoEncoderEsVit_DecoderResNetVariableEmbeddingSize","","32","false","","","hazelnut","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","108","0.8171428571428572","0.9031561359946952","","","","","","0.836698156204443","0.003136075893268227","0.0019087260499453316","0.8401560661174527"
"AutoEncoderDeit_DecoderResNetVariableEmbeddingSize-2023-05-09_19-16-03","finished","-","almi1012","DecoderResNet, EncoderDeit, MVTecAD, recon","2023-05-09T17:16:04.000Z","2350","","recon","313","AutoEncoderDeit_DecoderResNetVariableEmbeddingSize","","32","false","","","hazelnut","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","147","0.8785714285714286","0.9363545050189352","","","","","","0.8503585787160408","0.0021054780731102622","0.0017165603140034736","0.8556478115129087"
"AutoEncoderEfficientFormer_DecoderResNetVariableEmbeddingSize-2023-05-09_18-38-38","finished","-","almi1012","DecoderResNet, EncoderEfficientFormer, MVTecAD, recon","2023-05-09T16:38:38.000Z","2240","","recon","313","AutoEncoderEfficientFormer_DecoderResNetVariableEmbeddingSize","","32","false","","","hazelnut","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","149","0.8817857142857143","0.938427300345738","","","","","","0.8555109072841086","0.001287394773420363","0.0017950944602489471","0.8599903650261977"
"AutoEncoderNest_DecoderResNetVariableEmbeddingSize-2023-05-09_18-08-17","finished","-","almi1012","DecoderResNet, EncoderNesT, MVTecAD, recon","2023-05-09T16:08:18.000Z","1817","","recon","313","AutoEncoderNest_DecoderResNetVariableEmbeddingSize","","32","false","","","hazelnut","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","119","0.8789285714285714","0.9321449698835428","","","","","","0.860664591907013","0.003004422505793813","0.0022259670763443676","0.8661155512741703"
"AutoEncoderEsVit_DecoderResNetVariableEmbeddingSize-2023-05-09_14-34-05","finished","-","almi1012","DecoderResNet, EncoderEsViT, MVTecAD, recon","2023-05-09T12:34:05.000Z","2279","","recon","167","AutoEncoderEsVit_DecoderResNetVariableEmbeddingSize","","32","false","","","bottle","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","400","0.8476190476190477","0.9548491915337348","","","","","","0.4981978570373809","0.008018105725819123","0.006758538296534901","0.5040100288876809"
"AutoEncoderDeit_DecoderResNetVariableEmbeddingSize-2023-05-09_13-59-07","finished","-","almi1012","DecoderResNet, EncoderDeit, MVTecAD, recon","2023-05-09T11:59:07.000Z","2094","","recon","167","AutoEncoderDeit_DecoderResNetVariableEmbeddingSize","","32","false","","","bottle","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","310","0.8174603174603174","0.918741710599654","","","","","","0.44618810146663446","0.013215611633024886","0.011090967316357862","0.38090381732875256"
"AutoEncoderEfficientFormer_DecoderResNetVariableEmbeddingSize-2023-05-09_13-12-16","finished","-","almi1012","DecoderResNet, EncoderEfficientFormer, MVTecAD, recon","2023-05-09T11:12:17.000Z","2804","","recon","167","AutoEncoderEfficientFormer_DecoderResNetVariableEmbeddingSize","","32","false","","","bottle","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","483","0.7634920634920636","0.8747642037172592","","","","","","0.4914054611817736","0.00908525762131471","0.005307851847083796","0.406766014933907"
"AutoEncoderNest_DecoderResNetVariableEmbeddingSize-2023-05-09_12-26-48","finished","-","almi1012","DecoderResNet, EncoderNesT, MVTecAD, recon","2023-05-09T10:26:48.000Z","2725","","recon","167","AutoEncoderNest_DecoderResNetVariableEmbeddingSize","","32","false","","","bottle","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","430","0.7801587301587302","0.9286241063055076","","","","","","0.48487894474162696","0.02008740607269867","0.007328321137243793","0.3986637178654845"
"Eval-recon_ReverseResNet-on-mvtec_hazelnut","finished","-","almi1012","DecoderResNet, EncoderResNet, MVTecAD, recon","2023-05-09T08:26:36.000Z","54","","","","AutoEncoderResNet_ReverseResNet","","","","","","hazelnut","mvtec","","","","convolution","","","0.3","","","","","","0.9357142857142856","0.9631652067259172","","","","","","0.8591494497401407","","","0.8722303708249"
"Eval-recon_ReverseResNet-on-mvtec_leather","finished","-","almi1012","DecoderResNet, EncoderResNet, MVTecAD, recon","2023-05-09T08:25:40.000Z","54","","","","AutoEncoderResNet_ReverseResNet","","","","","","leather","mvtec","","","","convolution","","","0.3","","","","","","0.7805706521739131","0.9264353708318882","","","","","","0.6999615787525952","","","0.725124535491039"
"Eval-recon_ReverseResNet-on-mvtec_wood","finished","-","almi1012","DecoderResNet, EncoderResNet, MVTecAD, recon","2023-05-09T08:22:00.000Z","46","","","","AutoEncoderResNet_ReverseResNet","","","","","","wood","mvtec","","","","convolution","","","0.3","","","","","","0.9324561403508772","0.9799861931650156","","","","","","0.5935596322177309","","","0.5772344201831301"
"Eval-recon_ReverseResNet-on-mvtec_screw","finished","-","almi1012","DecoderResNet, EncoderResNet, MVTecAD, recon","2023-05-09T08:13:24.000Z","65","","","","AutoEncoderResNet_ReverseResNet","","","","","","screw","mvtec","","","","convolution","","","0.3","","","","","","0.5576962492313999","0.7836046889278061","","","","","","0.5711479569076187","","","0.46577091854578817"
"Eval-recon_ReverseResNet-on-mvtec_bottle","finished","-","almi1012","DecoderResNet, EncoderResNet, MVTecAD, recon","2023-05-09T08:12:33.000Z","48","","","","AutoEncoderResNet_ReverseResNet","","","","","","bottle","mvtec","","","","convolution","","","0.3","","","","","","0.8873015873015873","0.9661732593220652","","","","","","0.5471652428993591","","","0.5652686058915692"
